#Taken from Cocomac database (www.cocomac.org), the distances between any two voxels of two areas is computed, binned in a histogramm and the median of the distribution is taken as the inter-areal distance

	V3	FST	PO	PITd	1	Ri	2	FEF	3a	3b	45	V3A	AUD	MT	13	25	L	RL	Pall	Pro	PaS	TF	AITd	AITv	36	ER	35	MIP	PS	24	TH	23	6	29	7b	STPp	46	S	MSTl	DP	LIP	SMA	MDP	7a	VIP	9	5	4	PIP	V4t	CITv	Ig	V4	PrS	CM	SII	11	32	10	MSTd	12	Id	30	G	PA	14	AI	CA1	PITv	PIR	CITd	VOT	V2	V1	VP	STPa	MW	[???]	[??]	CA3	PAC
36	46.3825608325	18.9768738372	45.9394168879	26.0389763733	38.0169722448	30.2370579226	38.2869222587	33.445085658	37.4405849144	36.3228825172	33.0461562472	43.4433471783	28.6391584774	31.7687375162	25.3199392618	27.0844705881	19.0704264676	17.267792983	20.1701270673	18.8882173289	17.690732426	22.287264283	11.6254689247	10.9173864276	0	10.8930125937	8.9774427029	46.6646907719	29.3268065812	36.6358187177	22.4882849447	42.266430817	35.3445777819	35.5726499976	36.589123162	24.2858369061	35.8749356415	16.5380111263	26.8630306002	47.3355316764	42.5690310891	39.5812483322	50.2884242686	42.1151070479	39.4812584065	40.3433580076	43.2610375534	37.9781905127	41.2172956242	33.1929530095	17.4292467409	19.6186724179	35.7919848812	19.3527875011	25.2422503821	28.3294519488	28.4953073851	34.5570658244	39.5842510233	34.2521684385	29.2806601203	21.9099899662	40.5271160984	24.3324239276	21.6082775377	32.9125934945	24.3299402804	16.456330249	23.3897917288	12.5061808797	17.2268691701	27.3520498219	44.0460622557	49.0937690603	35.5793034784	11.5405219468	nan	nan	nan	13.5967357825	13.8298611487
ER	45.9465103446	20.9783121877	44.4758425949	28.7426403766	38.9152481419	30.9353026148	39.2376998011	33.6499563465	37.1061750119	36.9448213941	33.6567853233	43.1913257557	30.7766008386	32.5676872687	23.7551759437	24.6751669356	21.9464024814	19.7746678511	17.2932093813	18.276656592	14.9264637591	22.08923102	15.1559440631	14.3724252538	10.8930125937	0	9.9823952917	45.2402966295	27.9403464194	34.3210408034	20.5419566387	40.860504502	34.5931144466	33.824576772	37.5039257926	27.3207584387	35.5964345088	14.7818481102	28.0938781948	46.857962818	42.7117079403	37.9990141834	48.4305394323	42.5975759803	39.1968201982	39.3480277155	42.6220252506	37.839119152	40.0498013442	34.5120318476	20.8301862673	21.7079870526	37.6429128958	16.7253120256	27.362989474	29.2972297637	27.9834823563	32.7099749557	38.4280567479	35.1628883513	29.3474930658	23.1711353648	38.6781837732	25.2868294765	23.2889133708	31.1608048871	25.6301668665	16.324266442	26.5066137	11.1036977248	20.6955992452	29.8392914358	44.1906996817	49.1779839793	36.5685926408	14.8033376392	nan	nan	nan	13.2267933332	8.9861004176
35	50.7733539768	23.0880723604	49.6396884291	30.5067169581	39.6677610043	32.9907878428	40.3366652653	32.6065450154	39.4700711079	37.7860338482	31.8357009838	47.6025236459	32.0491112929	36.0532089006	23.9748728506	26.358358036	21.7115751338	19.5087634581	19.1884997289	17.8344487335	21.1188223742	27.2165932492	13.7739142781	15.3606567265	8.9774427029	9.9823952917	0	50.0236230833	33.1741778464	36.883087806	26.8853993124	44.9693542916	35.0947831818	38.8428360711	39.0196116185	27.6082451936	34.6117692997	20.5722305318	30.7882782477	51.1825016207	46.0201895633	39.6569428457	53.4471289459	45.7334852908	42.9698494122	39.2024043779	46.3461171099	38.9696529587	44.7701644662	37.3886374213	22.0817067465	21.0375179092	40.5462033386	22.8473884644	28.549181966	29.4581257011	27.0391106177	33.5805453302	38.623480752	38.3150741948	27.7915379704	21.6657255471	43.5628899709	23.6091489856	23.9119606748	31.7249281819	27.2845946368	21.0887770459	28.3318348515	10.3721395765	21.6422006934	32.14388149	48.9696431131	54.4114633182	40.37414349	13.8921898168	nan	nan	nan	17.1391796203	13.2248523917
MIP	16.8659797194	30.5996936442	6.8937571535	31.4025732944	28.4589406301	24.5546537709	26.628101474	45.3591149893	23.4324079166	26.460631799	50.5580591461	16.2996127244	28.5903899418	19.9583944248	45.8225302845	44.4545215778	34.8974614325	35.5573400779	40.9200584489	43.7697291143	33.4054388621	29.5273815543	44.6681591005	42.4890485643	46.6646907719	45.2402966295	50.0236230833	0	18.5341708998	30.1608601645	28.1587431749	13.0135754522	39.3202617303	14.5920214302	26.6877511961	32.9500383167	50.8384917182	33.3286022215	24.2103871083	18.3102126593	18.246648373	32.7717395617	6.2799137117	19.958204153	14.5961959669	48.8900579785	12.8990810177	31.8353884083	9.837509887	22.0931743227	38.8462055761	35.923981251	25.6365576345	30.7948843429	28.2976800991	33.3530919604	48.386695744	50.5392612065	55.8570459199	20.2411111633	48.5110346911	38.6378037989	9.9400738935	42.7165055483	31.6074529001	50.6069719454	27.2969552257	33.0451158862	34.0146923528	43.7140457191	36.9629848914	31.0274808189	26.005490672	24.5124173351	26.923655417	40.9623997792	nan	nan	nan	35.4231501783	40.6831710428
PS	19.9693297226	14.0288114863	17.5675989424	18.151072471	26.1629246085	16.0563742247	24.8265035717	36.4276456957	23.5234958465	24.6697923671	40.1057145174	17.8102960176	19.427308685	11.5999381407	33.5060921105	32.9536360096	20.2359761998	20.2212305906	27.0000054591	29.8921563008	15.3599282099	12.4488918951	27.431604533	24.8006147986	29.3268065812	27.9403464194	33.1741778464	18.5341708998	0	25.9371468475	8.7087808242	19.1473010528	32.9975103865	7.7173584077	21.5924204236	20.7968230301	41.7960411328	15.0188421991	11.3396016919	21.8017702709	20.4368415325	30.2167975772	23.0488318936	20.6864773978	16.334226172	42.2660308348	20.8106662144	28.8707105019	13.7914912467	13.8264840586	22.1280377848	22.1564867748	18.7797716155	12.5605266549	16.7154470612	23.4161627016	37.0519717716	40.6895364659	46.691736008	13.6437721647	37.364535602	26.0852062584	12.7872389238	30.7354766384	18.1857980562	39.6075200486	15.2477444264	14.6001773858	19.4154187888	27.8635089898	20.2978734133	18.1130090089	22.3070260106	25.8913392668	17.264583669	23.8839541051	nan	nan	nan	17.7077299932	24.5985468737
24	37.8820773197	28.5221116705	32.8826160327	35.4134050424	23.8756351974	20.2865741242	23.5401455748	19.3852632316	18.1279569437	21.5118413741	25.0506474003	33.5686343865	29.5363109597	29.0408197703	21.0191987851	19.8395281977	28.5780993413	26.6668022104	20.5314198326	22.4915576105	36.3807887927	34.569817307	37.6494762971	37.5288483833	36.6358187177	34.3210408034	36.883087806	30.1608601645	25.9371468475	0	34.5968217728	20.3842395977	15.64522531	25.145390347	24.2890160647	31.7784313975	22.8807572284	33.88859762	26.1936484633	33.0503889938	27.199245218	11.8763233081	30.6818488236	28.3871306388	23.7643874125	19.6266551256	23.1306722869	16.8782506762	30.1644429789	31.7383077145	37.9433189465	23.9747627898	37.2629330572	34.3326224098	23.871514642	22.4072695476	22.1412524761	22.7961938881	26.7048750669	26.9263221997	23.1593879015	21.3973730004	26.8799201846	23.530721157	22.3055179124	23.5044026132	22.0554561254	32.3904064082	36.9812130355	27.8405685413	35.7851388238	37.4905474348	43.4202022646	46.1168219574	40.5654106467	32.2019040233	nan	nan	nan	30.9325498708	27.7427009784
TH	27.5233429157	14.5631618824	26.1913164222	19.1737770454	32.8316018757	21.7433838946	31.352131204	39.8067531554	30.4258108153	31.7353640684	42.3172597735	25.1020717422	23.6276703578	17.0829235378	34.8888942471	34.9619089039	20.5228246347	20.0545263255	28.3632096372	30.0940577466	7.3361668166	9.6968274927	21.7539177071	18.4699684544	22.4882849447	20.5419566387	26.8853993124	28.1587431749	8.7087808242	34.5968217728	0	27.9744869133	37.6876831002	17.248088612	27.5957496647	23.2934845153	44.5889133539	8.5944385457	15.7848813735	29.4190497226	28.2421129159	37.9972590593	31.3618016099	27.5789818689	24.943125298	46.7311208619	29.8126998863	35.2870785276	22.4244270075	18.9183570744	18.2696508922	23.3041908657	22.644627225	7.6045237711	20.240531667	27.9028916169	38.8679776501	43.0690268075	48.9366189647	20.5554731296	39.165263305	27.788583257	21.862042418	32.4124037656	20.9961829471	41.6580677374	18.8513947628	9.8007537755	18.1237070404	26.3262917766	17.2473539238	18.0715399707	26.2679241659	30.7551051098	19.8625127932	20.6513824966	nan	nan	nan	12.3410680612	21.9633129865
23	24.6801863015	28.0558184837	16.4452793114	31.5458031035	21.3222040264	19.4115892348	19.991006345	35.8989452432	16.3391295922	19.1826071476	41.4326081692	21.0411950403	25.4747264234	20.4802691295	36.9154053459	35.7040225796	30.9054937211	30.7186496916	33.318504628	35.7899041982	33.4716132136	30.0787554343	41.5169591006	40.2661457678	42.266430817	40.860504502	44.9693542916	13.0135754522	19.1473010528	20.3842395977	27.9744869133	0	30.0992247793	15.0653906391	22.190484654	30.0670828275	41.1788292413	32.6969151627	22.6158149562	19.8199481202	17.133425214	23.4117617255	12.6484755794	19.1110184198	13.0976236285	38.6167227587	10.5690136899	22.9672271112	15.2313324146	23.2969702154	37.7679510414	29.8814093287	28.2327466859	30.7557301995	23.9938307588	27.2227682543	39.1418293699	41.1184401345	45.6052693522	19.2060289074	39.782765761	31.1735626209	12.6402830297	34.9664462675	25.9230890007	41.2656854331	22.6988594934	31.9160830393	34.4461552078	37.4892805374	35.3906742149	32.7658270534	31.9083252714	32.3791189158	31.5566071924	36.9556206896	nan	nan	nan	32.6067148589	35.1726845895
6	44.8784922587	29.7427533239	42.2744610336	38.0583074961	24.9827313047	23.0637341025	25.6642335453	12.0220670607	20.598467415	22.8654990017	17.3264896145	40.7061709714	29.8336132871	34.2922944587	18.5649121456	20.0249323152	28.0872213876	25.6382671092	21.0140709823	19.9941835384	39.3281242125	38.390959561	37.1373792886	38.3300654219	35.3445777819	34.5931144466	35.0947831818	39.3202617303	32.9975103865	15.64522531	37.6876831002	30.0992247793	0	34.2202281452	25.7789026027	32.5371974306	16.0904020409	36.4712562066	29.4981659545	40.6476031502	33.860091632	12.6173758149	40.3601546036	34.2182614232	31.4415791295	14.5108825875	30.9875137716	15.6273348423	37.8148808645	36.7856381331	39.4677273332	21.5936816944	42.0838890967	36.3614789503	25.8080749033	19.8951535226	16.6316917611	20.3644784657	21.6986464612	31.9276296511	16.2948915332	17.6058841216	36.7992563242	18.7378623388	21.5671296791	20.7005374925	22.6729472322	34.5986652291	39.6425106085	26.358587471	36.5709003382	40.4398368946	49.8555317418	52.5041487618	45.2263089944	31.4445948977	nan	nan	nan	33.5571705455	28.5055016998
29	19.6781022054	20.995245256	13.6581803185	24.7219433	27.0804168695	19.1365980505	25.44694304	38.470077015	23.3159096534	25.0645258919	43.1243961531	18.0090919468	23.4247904369	15.8091894832	35.9781341223	34.9350083503	26.1477393711	26.1570057251	30.1718519611	33.3331024629	22.7308409565	19.886753447	34.0988487668	31.9609947511	35.5726499976	33.824576772	38.8428360711	14.5920214302	7.7173584077	25.145390347	17.248088612	15.0653906391	34.2202281452	0	23.7256883339	26.1636051713	43.6391843808	22.672365783	17.4326090914	19.9117612525	19.0684302659	29.4524860138	17.8036631239	20.2159122571	14.935601644	42.9173427434	18.1664732691	29.1899540461	11.9451217529	18.3487350457	29.4560186079	27.2309770185	22.8369129528	20.1543095227	21.6292528129	26.8797482573	39.5410767964	42.0962014277	47.8967131317	16.5778864834	40.3018403994	30.192375516	7.3071004255	34.4770285302	23.2246565028	41.4833376358	19.8134022794	22.41520617	26.5881640861	32.4212853621	27.5786694611	25.077914555	25.3797759935	26.7220516332	23.6622192621	30.2193050433	nan	nan	nan	24.3608519035	29.215685545
7b	27.2715822841	21.4840981935	28.0177397738	26.2226101108	14.2502836829	7.9604402935	12.4707060184	29.9642556192	15.3375228419	13.7292001547	33.6613131927	23.0495339918	17.0543047644	18.1332979244	33.413757833	34.7685077969	22.7146241274	22.3308753257	30.8126355547	29.9402449014	32.9950479524	27.828363657	35.4030312473	34.8462352694	36.589123162	37.5039257926	39.0196116185	26.6877511961	21.5924204236	24.2890160647	27.5957496647	22.190484654	25.7789026027	23.7256883339	0	21.9591409017	36.0111565781	30.8762917434	16.0562434024	22.5091043557	14.4518039327	25.6934011549	29.4077615582	13.5102090519	15.5050773604	36.8181477113	19.7799478553	20.7248260925	21.6249344173	20.7068564167	31.9946699874	20.4476565332	26.351961713	30.0167309122	16.1303410878	13.6266225021	33.8483402187	39.8734628757	43.00736816	13.4757339705	32.1260423864	20.8923163959	24.8426758221	23.695333554	17.0163275601	39.1696400806	14.3098094283	28.6907337131	28.8973661372	32.1249517181	29.1143159811	27.9908831288	33.2072043181	35.1189825418	30.0725670329	29.8150050229	nan	nan	nan	28.790138569	32.4288103664
STPp	31.6863797714	12.3545727333	32.9146839359	20.2160048425	27.5433350374	16.5266225536	26.4387670582	33.3202028202	25.1752195869	26.0502351408	35.0833398407	28.066662981	11.4302411553	18.0733940851	31.7655200226	33.5384961982	8.4062354046	10.4226609011	27.277393086	26.0721887574	24.4730318094	21.7391817063	22.2382961955	21.6829088963	24.2858369061	27.3207584387	27.6082451936	32.9500383167	20.7968230301	31.7784313975	23.2934845153	30.0670828275	32.5371974306	26.1636051713	21.9591409017	0	38.4475797964	21.2491947323	11.9217994787	30.7575654181	25.5479988845	33.902163498	36.6237360642	23.5658792677	24.3272330482	41.3922138674	29.0453561855	29.7113288135	27.2261427002	20.0384087023	20.8933274806	14.1652587562	25.465155014	22.6153882415	9.4282544975	20.9287901502	33.4715703599	40.4419421238	44.5471587129	16.0001378439	32.8592168843	19.5952342831	29.4598825774	24.4519407574	13.1001804433	39.1069558245	11.8220142271	19.2068806753	21.6145582413	24.3215461029	18.5497903222	22.5324058391	34.2675661606	37.9944569149	27.6695973307	15.9807751188	nan	nan	nan	18.5106512956	25.1295286877
46	55.8924498335	35.9803326573	53.3325788846	45.3772915018	34.7770908567	32.812074527	35.7745883444	11.1954304364	31.2552952656	32.834289849	10.2515906413	51.7856300563	37.7440776782	43.9361894908	14.5616974819	17.4608010313	32.9472378243	29.7269743834	21.004270418	18.3788113544	43.4584893789	44.7208468437	38.3083263225	39.8719870868	35.8749356415	35.5964345088	34.6117692997	50.8384917182	41.7960411328	22.8807572284	44.5889133539	41.1788292413	16.0904020409	43.6391843808	36.0111565781	38.4475797964	0	40.809238292	38.4334008308	51.9854326658	45.1281230142	22.1110711839	52.0061828728	45.4327774656	42.6416502547	11.0284841639	42.8961859439	26.1838813663	48.95431009	46.3683359991	43.2098316352	25.5652231393	51.5232244232	42.1389585117	34.0815487929	26.4216183816	9.7895446899	13.0613881423	10.7060464558	42.4128202552	9.0289501689	19.749424801	47.1301741039	18.2611715352	27.9526952171	13.2022981931	31.2490639679	39.3102373109	45.7649331128	26.3402525062	41.2035231102	47.6945161832	59.4547068439	62.9168358743	54.0526497654	33.0825815159	nan	nan	nan	37.0307860979	29.9201748138
S	32.6259262113	12.4904566804	31.7794501659	18.0947840884	34.7470196136	24.9409935913	34.0980285591	37.0276558891	31.2755528564	32.8280704532	38.7458905998	30.294703927	22.5894045259	20.7766355685	31.2560665452	31.5008161789	17.7899602816	16.7454414677	25.1149075242	25.5483765294	6.876590912	8.9980751706	15.6321430994	12.9155096604	16.5380111263	14.7818481102	20.5722305318	33.3286022215	15.0188421991	33.88859762	8.5944385457	32.6969151627	36.4712562066	22.672365783	30.8762917434	21.2491947323	40.809238292	0	17.9581687559	34.7660587039	33.2656284361	37.7490688849	37.2844778686	32.3514811226	29.8044168276	44.1689251361	33.6271835933	35.3699671745	27.7643908347	22.0421422552	14.6950121518	20.2456035735	24.9981712404	7.5879873563	20.793227464	26.958351998	35.2139095852	39.7532164559	44.7890102025	24.4070083298	35.1120312502	24.3508790144	27.4615193938	28.7986845314	19.6641806812	38.4837073247	19.4775051964	7.5872080707	15.8551228195	20.3106761201	14.1479431524	17.4349347461	30.5735474353	34.9892534019	22.2470742864	14.9771593293	nan	nan	nan	7.9625154642	16.789578608
MSTl	22.5914109724	8.7663694517	24.0130735042	12.0770073113	22.4492562255	10.6644070312	20.8044386143	32.441980428	20.5363791929	21.4519920294	35.6712688099	18.9372308927	11.3936474768	8.1530907826	32.1778001963	33.2551633198	12.507940559	13.8557663446	27.2112058935	27.5324406036	19.9752088098	14.3058178915	23.9146921813	22.1521874949	26.8630306002	28.0938781948	30.7882782477	24.2103871083	11.3396016919	26.1936484633	15.7848813735	22.6158149562	29.4981659545	17.4326090914	16.0562434024	11.9217994787	38.4334008308	17.9581687559	0	22.7026747565	18.7135754406	29.3724007118	28.3007698513	17.1747262606	16.8532572314	40.0118903528	21.6113832625	25.8924332241	17.9771559225	9.8831148399	17.698891087	15.7917513849	15.6513436979	17.5464130796	7.5409478231	17.9577941359	34.560542614	40.2153563441	45.0037380047	9.1254708261	33.3631862428	20.7727477688	20.576961989	25.5219026895	11.5952511834	38.9436201464	8.4538762201	15.5922636468	13.9434516908	26.3249878003	15.1278450534	13.2247386015	24.4386209695	28.3586439635	17.4125769303	19.823342246	nan	nan	nan	16.858963841	25.0364130185
DP	15.0868380972	29.6329023026	18.9046529628	28.2458290677	28.627005587	22.4920377249	26.8996148751	46.2143418237	26.461120176	27.2839002331	51.0951991321	9.3641766312	25.5832770332	16.5952856787	47.6944312566	47.0126200172	33.6644396128	34.7895844631	43.2823252746	44.9721376125	35.5730962811	29.847829027	44.7182603636	42.7148673357	47.3355316764	46.857962818	51.1825016207	18.3102126593	21.8017702709	33.0503889938	29.4190497226	19.8199481202	40.6476031502	19.9117612525	22.5091043557	30.7575654181	51.9854326658	34.7660587039	22.7026747565	0	10.0602557893	35.69664998	21.978209774	11.4748995768	11.0983709516	50.9123550497	20.7831076988	33.4507457613	12.2591809433	17.7741611882	37.6581640784	35.3965749989	20.3770055116	32.6517858398	26.7495717535	32.0005668267	49.8508691301	53.054135736	57.7881201857	17.0813707187	49.3042343538	38.5171683956	17.2010962105	42.4858688097	30.8733401562	52.8660133337	26.4932415605	34.0167516654	31.8704687953	45.2174547566	35.6734903096	28.5482350655	24.5532267743	23.6553471449	25.4291503255	40.8929244777	nan	nan	nan	36.3739980979	42.6796234586
LIP	19.3096593178	26.2497978041	19.4870867468	27.9902573556	22.1914930083	15.5897497393	20.2437774036	39.0448726004	20.9131257115	21.3379418329	43.7146186597	14.6238910061	19.9859284401	16.0253907863	40.8667251175	40.8378961967	28.5664620198	29.2328469736	37.0524463366	38.1671658719	34.0659189537	28.8992198861	40.937587002	39.4523822108	42.5690310891	42.7117079403	46.0201895633	18.246648373	20.4368415325	27.199245218	28.2421129159	17.133425214	33.860091632	19.0684302659	14.4518039327	25.5479988845	45.1281230142	33.2656284361	18.7135754406	10.0602557893	0	29.7016011824	21.1446877832	7.1485380054	7.3688403285	44.2497445874	16.730421358	26.5982692748	13.6358809353	18.5600851292	35.5166268316	29.0249801113	23.2989926871	31.0687445112	20.8332427203	24.7682040196	42.5847418511	46.9907016198	51.053706367	12.4188530956	42.2687198027	31.0626073514	16.9665054408	34.6790512947	24.5859537832	46.5473246414	20.6049980728	32.0411324718	31.1579701325	39.571236069	33.0711625415	29.0795461755	27.5828317614	27.7636288244	27.9535385325	36.2373348873	nan	nan	nan	33.1689073969	38.05208372
SMA	40.6233662392	31.3903639742	36.1815336494	38.6471132996	23.6535918768	22.6779335849	23.7941617268	18.7342005657	17.3207892517	21.0831407062	24.7674044464	36.2224329197	31.1715472258	32.1695333847	23.4616703807	23.0473671746	30.893887892	28.7628038174	24.2630111723	25.2123527338	40.388750684	38.3553919008	40.4275802922	40.891375756	39.5812483322	37.9990141834	39.6569428457	32.7717395617	30.2167975772	11.8763233081	37.9972590593	23.4117617255	12.6173758149	29.4524860138	25.6934011549	33.902163498	22.1110711839	37.7490688849	29.3724007118	35.69664998	29.7016011824	0	33.2931431919	30.6920393867	26.4684242443	17.3573208471	24.5927135352	14.2029517995	33.0959081986	34.8171261998	41.3191486294	25.5050362946	40.3378683556	38.1037781024	26.6626551215	23.2247398532	23.0495859854	23.9887289568	26.3212205323	29.5069046458	23.3569740038	22.4176359239	30.8304442698	24.4765399913	24.193038643	24.8513780306	24.1757898827	36.0185036981	40.4094825478	30.7095269483	38.6922436943	40.8747987436	46.6287132193	48.8688116706	43.9885152853	34.8115161565	nan	nan	nan	34.8921206775	31.324565758
MDP	21.9668338797	34.2015219601	10.0291207541	35.9054162556	28.7097209601	27.2034352473	26.9309790937	46.7368014302	23.2217582405	27.1599186248	52.2462455544	21.2123169614	32.10551889	23.9004060186	47.6034984398	46.228759785	38.306400714	38.7590025885	43.2816045522	46.0855802417	37.6936349561	33.7186224019	48.8911110033	46.7344423311	50.2884242686	48.4305394323	53.4471289459	6.2799137117	23.0488318936	30.6818488236	31.3618016099	12.6484755794	40.3601546036	17.8036631239	29.4077615582	36.6237360642	52.0061828728	37.2844778686	28.3007698513	21.978209774	21.1446877832	33.2931431919	0	23.2178390873	17.3746791003	49.6027225536	12.0601848841	32.2510168931	14.2207178054	26.3208806037	43.0795251237	38.6837253373	30.4696688054	34.9258806468	31.7599122327	35.7525418517	50.2044606507	51.734495587	56.7802842654	24.0718772771	50.3751998862	41.0543090824	12.3688338658	45.0000191749	34.4359895804	51.9946141389	30.1886723238	36.9327134143	38.7172535351	46.6880241139	41.0022427629	36.0139001745	30.8357895328	29.2080624884	31.9364987369	44.4742473866	nan	nan	nan	39.3902141683	43.5579777562
7a	19.8713932254	24.7054939569	20.9237719928	26.4735400554	22.3532780324	15.2663742214	20.4131125003	39.3970127527	21.6631219358	21.6080145247	43.8488610282	14.4564129167	17.9132288025	15.5422776941	41.7998404604	41.95337066	27.1266259598	28.4554063462	38.0788528699	38.7574185274	33.1438305471	27.9186989309	39.9999562462	38.3076455266	42.1151070479	42.5975759803	45.7334852908	19.958204153	20.6864773978	28.3871306388	27.5789818689	19.1110184198	34.2182614232	20.2159122571	13.5102090519	23.5658792677	45.4327774656	32.3514811226	17.1747262606	11.4748995768	7.1485380054	30.6920393867	23.2178390873	0	9.4189260778	44.8940113468	18.0803798032	27.3248039933	14.5184944876	18.0478391156	33.8573136975	28.6692240812	22.4354114216	30.1966291272	19.7168013836	24.2470577591	43.2902002354	47.6335100428	51.8353689666	10.9544998585	42.2276058962	31.0545841394	18.6224603024	34.7195182036	24.2847571433	47.3062076883	19.9259042729	30.9499944518	29.6996864057	39.6943966226	31.4108625311	27.825800122	27.5883930915	28.2272737756	27.4422231609	35.3226646295	nan	nan	nan	32.4338059093	38.2080199845
VIP	18.0693321232	23.8093813805	15.9975831036	25.660068342	20.4805071429	14.6687688012	18.4269772131	36.7632191817	18.0269947537	19.2786924033	41.650147564	13.765719466	19.1134363204	13.7461151272	37.7734224604	37.3809523893	26.5805083775	27.0586433259	33.6024022739	35.3325474176	30.3536591125	25.8582809488	38.0557865708	36.5431859641	39.4812584065	39.1968201982	42.9698494122	14.5961959669	16.334226172	23.7643874125	24.943125298	13.0976236285	31.4415791295	14.935601644	15.5050773604	24.3272330482	42.6416502547	29.8044168276	16.8532572314	11.0983709516	7.3688403285	26.4684242443	17.3746791003	9.4189260778	0	41.3761607709	13.1727528755	24.0093960747	11.2367387921	16.3931854493	33.0707081091	26.8589754773	21.4282212756	27.5014378048	19.1526524978	23.7529664539	39.9111716474	43.6971017641	48.08648538	11.5104724953	40.0874997893	29.4094258848	13.1284501191	33.3878088738	22.4599140656	43.418490761	18.6061396435	28.7664649852	28.765647335	36.4933847573	30.7471189752	26.6163009025	25.80232664	26.3111921916	25.5467810133	33.6051844158	nan	nan	nan	29.7535565964	34.4247178551
9	55.3872540842	38.7773668108	51.8173909398	47.8651106857	34.6043029129	33.7249702694	35.4531308857	13.6490264932	29.4206479697	32.4009226766	17.7281438537	51.0520384725	39.8001002169	44.5245202462	18.0917565495	19.0375082125	36.4490027347	33.4929473971	23.806518602	22.7927927861	46.3426269858	47.0661380878	42.9009996791	44.3304030641	40.3433580076	39.3480277155	39.2024043779	48.8900579785	42.2660308348	19.6266551256	46.7311208619	38.6167227587	14.5108825875	42.9173427434	36.8181477113	41.3922138674	11.0284841639	44.1689251361	40.0118903528	50.9123550497	44.2497445874	17.3573208471	49.6027225536	44.8940113468	41.3761607709	0	40.4471177498	24.6250631152	47.8626736509	47.1988342538	47.0610110186	29.3381302358	52.5619640159	44.6012991322	35.8765318839	29.2569717758	14.6583648669	14.0824607562	12.3250929536	42.6361957591	15.6314624251	23.829826407	45.6103752722	23.5594817048	30.7287784397	15.2343496699	33.1119506713	42.4175473444	48.6874002682	30.5444841157	44.8569651225	50.1685265622	59.9619305776	62.8893372676	55.6825340608	37.5883140987	nan	nan	nan	40.3610270138	33.1020513877
5	25.2621375163	27.6568831929	17.4264208626	30.7500067236	17.342305449	18.2240344924	15.5561419463	37.4791123242	14.8191772474	16.2839489988	43.0202135417	21.2258161442	24.2497992554	20.4974570267	39.9243224347	39.0001686943	30.2885590065	30.63041193	36.3126139025	38.0426360161	34.1654664402	30.7671059277	41.764702891	40.4963290742	43.2610375534	42.6220252506	46.3461171099	12.8990810177	20.8106662144	23.1306722869	29.8126998863	10.5690136899	30.9875137716	18.1664732691	19.7799478553	29.0453561855	42.8961859439	33.6271835933	21.6113832625	20.7831076988	16.730421358	24.5927135352	12.0601848841	18.0803798032	13.1727528755	40.4471177498	0	22.2088483936	16.6950919132	22.9684090678	37.3643890757	30.0575587586	27.7282778153	31.6173476425	23.1836283635	26.2881263158	41.6899885231	44.223931591	48.1698423625	18.0157685089	41.4868108942	31.9463352452	15.779066622	35.7762188479	25.8796092063	44.4683654483	21.9829602725	32.3722952509	33.5984818171	39.29880079	34.9083677505	31.9408623098	32.2231320117	32.7650187987	31.4932023268	37.1316283085	nan	nan	nan	33.5153284963	37.3763605846
4	38.0187322835	27.5937682901	35.4276008209	34.9537869572	18.6256562876	18.5027803723	18.979916096	20.9892397033	13.854901614	16.5037573085	26.3025144256	33.632651242	26.5288190165	28.9547126357	26.3415226728	27.251634105	26.4775622226	24.9121910637	26.56574688	26.3970367617	38.1421624198	35.6500937337	37.785295535	38.2294375186	37.9781905127	37.839119152	38.9696529587	31.8353884083	28.8707105019	16.8782506762	35.2870785276	22.9672271112	15.6273348423	29.1899540461	20.7248260925	29.7113288135	26.1838813663	35.3699671745	25.8924332241	33.4507457613	26.5982692748	14.2029517995	32.2510168931	27.3248039933	24.0093960747	24.6250631152	22.2088483936	0	31.1680417845	31.68675509	37.4301083991	21.6886546855	37.1016682018	35.9945377086	23.0266642833	18.258175698	25.5181833451	29.7455251526	32.0984316666	26.1338846189	25.0206867435	19.7446149426	30.495057619	22.1054144635	19.8491191833	29.8048449343	20.293231243	33.2004732681	36.7897549008	30.5114569954	35.0326105352	37.2403795057	43.6589929682	45.9009931539	40.664708218	31.945988481	nan	nan	nan	32.6694463386	31.8043455083
PIP	10.6321589902	24.5576067223	9.4822555021	24.8218795289	27.4099141009	19.4398316561	25.0553593551	42.8694451502	24.469401427	25.9512401321	47.5462511828	9.2287932714	23.3700015767	13.2292475985	42.5144217173	41.8039977808	29.2127511377	29.9066286252	37.1676103992	39.687425855	28.3045811966	23.4847577205	39.0205738933	36.6833531232	41.2172956242	40.0498013442	44.7701644662	9.837509887	13.7914912467	30.1644429789	22.4244270075	15.2313324146	37.8148808645	11.9451217529	21.6249344173	27.2261427002	48.95431009	27.7643908347	17.9771559225	12.2591809433	13.6358809353	33.0959081986	14.2207178054	14.5184944876	11.2367387921	47.8626736509	16.6950919132	31.1680417845	0	15.2451282319	32.4414654322	30.7723249591	18.5930531736	25.4994134492	22.637191681	29.0175086187	45.2938292149	48.8951100659	54.0291089323	14.4513648961	45.7223016335	34.143182356	9.540340304	38.4728894665	26.3078488826	48.4327596772	22.2939339963	27.2218555658	27.5755411987	39.3773040521	30.5413446697	24.5656700329	19.775921619	18.8088034611	20.1436728151	35.3037777768	nan	nan	nan	29.933794889	36.3071194725
