Distances provided by Rembrandt																																																																																												
																																																																																												
	F6	V3A	PIP	OPAI	PIR	TEav	ENTO	TEOm	7op	POLE	PBc	F1	F2	1	DP	7B	TEpv	MT	46v	F7	PERI	ProStr	29-30	12	TPt	TEam-a	25	45B	F3	TEad	OPRO	F4	FST	23	Gu	MW	TH-TF	V6A	STPr	46d	24d	8B	13	PBr	MIP	11	V2	AIP	V6	LB	Core	V4	10	24b	TEam-p	24a	9-46v	24c	8l	ProM	45A	IPa	SII	TEpd	9	MST	MB	LIP	44	STPi	5	INS	3	7m	PGa	2	8m	V1	31	F5	TEO	VIP	V4t	V3	7A	32	9-46d	Pi	STPc	8r	SUB	14
ProStr	42.4210926785	12.3018767013	14.1259129832	32.314413179	29.0896522072	32.1704989857	26.2853060898	18.5206991672	18.6861599507	33.3507069034	23.0103909119	28.2405557934	36.2833352158	27.4676095987	21.5008513214	24.1899182184	18.0411956323	14.8356272218	44.5165924375	43.1850107636	28.4862549282	0	13.6183413862	40.5880221107	17.8986267592	25.9943491905	34.2927164532	38.4131353888	35.9940185987	30.1478841853	30.7747418829	29.823507463	14.5217608317	23.0307821356	36.81447978	13.0093585247	13.1365606324	12.71395414	26.8939129867	45.4875612925	34.6565084174	36.7495752088	37.2066285596	29.8416806654	15.8170318137	45.1526342525	13.1678633668	20.6823418085	13.3661298941	26.4073607433	26.5877368967	13.5446899288	49.4611730072	36.6985597941	23.7097598315	36.908830659	41.958446223	43.3676282872	38.5181946846	37.1585053389	40.6882449669	23.418810537	27.2873751153	22.6007199947	48.3271166209	13.2789397838	28.2411867727	16.2425189415	31.0915195611	23.1728623114	24.3293568469	22.7933774323	26.1155240188	19.494743369	24.5861802539	32.6195093134	38.0819101105	13.8692046129	17.1999361432	35.1395784506	19.002786494	12.443116986	18.4452108902	14.661046849	21.9093193092	43.6252338357	42.2442823872	30.8021652072	16.2644784934	37.2492279675	20.5660419316	43.2108394949
29-30	33.0166331816	18.8211012563	13.212705668	28.5900826617	28.9622912892	36.8703858124	31.4526318683	27.3949006195	19.0055779796	35.1129184094	26.7985239671	19.2651993137	25.8274767649	23.4728398635	22.8381919809	24.1755145735	28.0975065275	23.6589137169	37.8008007641	33.7764017921	32.2959621377	13.6183413862	0	35.5585934237	19.4835326988	31.6801843087	29.9958179715	33.3593281068	25.9199908476	36.5248330993	29.1591741229	21.9056684394	23.3283826476	11.6636078884	34.7428764193	7.5041196279	24.8535459875	12.0055389116	31.3279561175	37.8610654971	25.1413131257	28.1992813089	32.5765428101	33.9239774833	11.7087520014	38.1651020243	25.4252520345	19.2438673434	19.2263963397	30.7582700269	31.0253405899	25.4476241532	42.7899028155	27.1605713692	31.9016375627	27.8396835039	36.1381968996	35.0760785606	32.9646036803	35.0984423491	37.0484234262	29.1046456552	25.345736814	32.052661007	39.8610486584	19.3457374761	31.2139520447	13.8265537607	26.6990156939	28.4841655663	16.7708097852	23.007905802	15.4117180409	12.0355566917	29.1329100448	31.3691043116	30.4699407689	22.2665116477	4.8259308488	32.6738613522	29.7475999745	8.1562843639	26.4348146923	26.6903675229	21.6968023053	35.9291772573	35.2100816279	32.3647996667	21.726216915	30.7287283243	28.3932842017	37.2838951643
12	15.8528146252	49.4455260304	45.424368149	14.17811687	17.6232255881	33.2495199925	33.9785408166	40.158398151	31.574713882	26.5894197526	38.7807560276	28.4637301571	21.6863613321	29.0694200151	51.7830071871	32.8191901924	37.7759663216	43.5929820067	6.8084756352	15.9982107014	31.5246316533	40.5880221107	35.5585934237	0	40.7813724852	29.7714969173	14.9683015414	9.1342492995	20.099307353	33.3198528146	14.2333857428	16.9518930631	36.3236987565	26.5413044956	13.4192523479	30.4488538018	42.5596929481	45.9497410359	25.9235297142	10.2371037493	15.5624122516	12.4322930742	6.6582184547	28.6918695043	44.9969363144	11.7062114374	48.4270525029	30.7004506485	51.443825165	30.8466651577	28.2953213021	44.6937569009	16.5482331539	15.9697037304	37.0411866771	15.1266347878	5.2243402815	12.8524780274	10.0427447215	13.7625878881	6.9560045124	28.6491841935	21.0070294477	40.4973769932	14.6070080385	38.1807186622	23.5515021083	45.1386788686	10.5781836395	34.9193267725	43.4845708857	20.9193146183	33.2807778868	45.7215543518	26.3750471976	21.7225787361	11.4288124661	52.9148544821	37.8007383369	15.6520223753	45.5304863033	37.6160062461	47.691390304	49.5291826091	39.5818068005	13.982962492	10.9888142999	22.0623877154	37.9207860912	10.0987420093	33.7607142879	14.4033455882
TPt	41.7260407127	17.8339225302	14.0142995557	38.2005529331	34.9378119417	41.2977333367	38.3911087218	22.824037511	10.7714676324	40.877995285	13.8747561706	22.7331715379	34.2605326072	19.6169678772	17.668387473	12.0254409075	25.873635472	18.7447880024	44.7614949436	41.8770343462	38.460143536	17.8986267592	19.4835326988	40.7813724852	0	32.8286284365	40.217137121	37.6539504676	34.5666902808	37.4503294512	35.7044039431	27.199224414	18.757519539	23.3790097575	36.0182568446	21.61563238	27.1618179271	17.0263376285	31.8484211783	46.1538924648	34.540569417	35.4619319968	39.9781147098	31.3496522013	18.4495592685	47.7902226879	25.1028775795	10.7652387039	20.6538304206	25.7093716074	27.2549254865	22.4645557336	52.8155959686	38.254462167	29.1162008843	39.0415011979	41.1739617747	45.1515224333	37.7337102362	35.1862723008	40.3604183578	30.2530897829	22.8947777999	27.6944099773	48.3302336904	8.6491289231	31.8913474647	13.300030005	30.2178262199	19.5278387126	22.1103156914	23.5433664545	24.6492180659	21.8353172558	31.0319791634	27.4127684087	37.1154290774	22.1315536259	20.1603087401	31.6292498466	24.4500000957	11.5412498365	21.3737730591	25.0895859122	4.8855591107	46.6027738008	41.3554534069	36.2001116182	8.8751600078	36.3353081344	30.2268232101	47.3139288946
TEam-a	39.6246647471	36.5944006978	37.6754518022	21.5956577151	13.0381085551	11.1450339787	14.36335379	18.5016592048	28.6975765048	12.3879086706	25.1755210986	36.3590234261	39.3081185194	31.25687421	41.7453583653	33.2385761592	12.8543022495	26.6547625336	35.2619006326	40.2507340467	11.6262486683	25.9943491905	31.6801843087	29.7714969173	32.8286284365	0	25.1195495952	29.2954499373	37.6769625356	6.1572679054	16.5324274483	30.0627505942	16.8354981396	32.2034145647	23.8314160815	24.9989994819	17.4752360097	37.2729898893	7.036382367	37.253640759	33.9134783358	33.80999344	25.7267238998	13.1225523344	39.1260964166	36.495681875	30.7222373244	29.6770432909	38.4773534197	15.7962697611	13.4831575036	23.1940007124	40.5845007602	34.9584677164	8.8891000426	34.1349871044	33.00179087	37.0243181243	31.4966306428	25.9729264186	28.6247200909	2.5755386536	25.4375086374	14.2770080229	41.4289784788	25.9783468872	9.9065681917	38.6539055889	23.7738853264	18.8442763619	42.8595915799	16.6701786319	39.3292509872	42.0421855766	3.3964497197	29.2483677209	33.638184892	38.5583850907	36.0950016443	27.1304008472	23.683019004	31.8280515537	29.0444407857	29.5212266365	36.4633940006	36.3593944212	35.4706607703	10.4439883867	25.4134440913	31.1013039505	8.584420259	34.2672373972
25	19.7905340803	44.8359160498	41.1182831489	3.6753228503	12.8593533216	27.2886808972	25.3288209585	36.7176199783	32.0617567932	21.4301784162	37.4878449732	30.1018990352	23.3492056292	31.434831577	48.8860332881	35.4736927336	33.54830171	40.5717526913	16.3658744391	20.5744167715	23.8768793513	34.2927164532	29.9958179715	14.9683015414	40.217137121	25.1195495952	0	19.8058331644	21.5594941357	28.5432904098	10.2644317459	19.4965148595	33.0951283722	23.2970487121	19.0755646544	23.6833473477	35.3593347002	40.6109427714	23.0727503361	16.1820780618	16.2761048645	17.3352231069	8.9844908017	26.4025607629	40.5298128104	12.9288200741	42.2639540766	32.1308076746	45.9937368264	29.6479610718	26.8776450903	40.2008208692	16.127636651	14.1979121951	32.5974402447	12.5945151426	18.3041191862	14.0492275089	20.9020743345	21.1328653293	19.9605985535	24.2054377612	24.8920137096	36.9470704367	19.9972414283	36.3201848163	21.1259882954	41.4253327748	15.8509432875	33.610632099	41.9829394928	21.673259577	32.0820033701	41.0252678377	22.0920427436	26.889718244	18.5999729228	47.2702267204	32.7988476095	22.8817593602	42.3107649504	33.9505400899	44.7530661978	43.888759605	40.4950110714	12.4328271002	18.5603153107	18.1129320676	36.6099212176	18.9868255028	27.6673453253	9.8186649182
45B	19.5460699844	46.6526143874	42.5356310802	18.1837365099	18.4805564926	33.5226307134	34.8119341753	38.371349141	28.6055076642	27.2363786368	36.2389153941	25.8984097182	22.0244140935	26.109831895	48.7321994164	30.1538491938	36.3553477621	41.1145332095	14.1839786505	18.8608392519	32.257562688	38.4131353888	33.3593281068	9.1342492995	37.6539504676	29.2954499373	19.8058331644	0	20.5283057195	33.0076562881	15.7627140202	14.8274331704	34.4836512234	24.4730755941	12.1929976291	28.8818862692	41.6345752399	43.2301737552	25.4694178701	18.0426102575	16.6262866839	13.0036886642	12.8821068896	27.9913594547	42.1830567304	20.1570562062	46.590444947	27.6346850625	48.6080484402	29.732305646	27.1809617904	42.8474600574	25.1458005582	19.3166344593	35.7825552392	19.1813460231	8.5184598763	19.7229609228	3.7085965804	11.9390369237	5.5920194299	27.945221511	18.8221231924	39.0956351566	21.5862963741	35.522995128	23.0973902642	42.1605834773	7.9231289828	33.1594716675	40.623816127	18.9159204096	31.3454561202	43.0371881625	25.8990002176	19.6665731169	10.5842971082	49.9141596086	35.3793576948	13.5960167561	43.6904387702	34.7021564205	45.3016269425	47.4974722884	36.5160412144	21.5081053872	13.3024061837	22.0516290226	35.3789454577	6.8943374672	33.1201388074	21.9969795624
F3	9.1587981487	42.1481035123	35.3113895813	22.4934673701	27.1853327383	42.1975331791	39.3585399342	41.2943754503	28.9599856243	36.1376243643	38.2450872772	16.4490845447	3.3149649525	26.5016196297	43.1173927617	31.2775909732	41.4877086892	41.4273610184	19.1482731271	9.9404016211	38.7302661718	35.9940185987	25.9199908476	20.099307353	34.5666902808	37.6769625356	21.5594941357	20.5283057195	0	42.1212650771	24.508623367	10.5246495157	37.2278574784	14.7230459941	27.8405692573	24.301458113	44.0305436981	35.6848127908	35.031772517	17.4008533072	5.4074662837	8.1051556992	20.1577704667	37.0276115691	33.3699722364	20.818162678	45.9433922201	26.8699945352	43.0626647505	37.921214529	35.8329342128	44.2425544128	25.598978297	10.0896415847	42.264150201	11.223594255	20.0602801989	16.4471508382	18.4628659089	28.0346849427	23.8431143394	35.890172491	25.7557230313	44.7686209999	17.4551319008	35.1984854148	32.728716624	35.4732599986	17.2263148993	38.2240296251	30.2515916504	24.8603298248	16.6915904945	33.9956165178	34.3288428868	30.4482695948	11.8362121821	46.0029373922	26.5148410857	25.5851120501	45.9576841651	28.0819070097	45.3739806621	47.01462996	34.5889358072	18.8128513922	15.7033624792	31.9533794837	36.0454785557	14.693225012	39.0325466065	22.377166111
TEad	43.521934871	40.6898672491	42.3762941951	24.9254059935	16.1511384201	8.1752122194	14.5872926557	21.9477482838	33.7781413478	12.4465540693	30.2476789322	41.4108351053	43.8519411783	36.3366375184	45.9477626035	38.3191410021	15.4871903241	30.123125049	38.5230910114	44.1089773443	11.1130303173	30.1478841853	36.5248330993	33.3198528146	37.4503294512	6.1572679054	28.5432904098	33.0076562881	42.1212650771	0	19.7015655453	34.8201160874	20.6956485089	37.2276813931	27.5843121966	29.7756204898	19.5654345111	41.8579963495	11.5122079954	40.4914874624	38.210257657	37.9855225615	29.0996317579	17.8599254081	43.9834864085	39.6648199719	33.9678192025	34.7576081339	42.5662495282	20.8760330695	18.3462293044	26.4957224405	43.854580477	38.9772192707	12.2964772739	37.9879344474	36.7380508125	40.2362992005	35.5272550052	29.7258225337	32.3149913058	7.6561034965	30.2473864254	16.7525509868	44.6170258589	30.5875008154	14.138894831	43.4860394484	28.1201087187	23.9248412049	47.9306346817	21.680668447	44.4090142957	46.931649094	8.1338227934	33.9942815933	37.8116209735	42.6528316511	41.0284048702	31.6838346292	26.7725781872	36.8035421012	32.4905298647	32.5277543991	41.4218927858	39.6387349696	39.2696646535	12.8751424458	30.0715766152	35.3208853664	10.6884867874	37.537317114
OPRO	24.2784643064	41.2845377736	39.0559689157	6.5891088956	3.5504271252	19.192180117	20.1110154222	29.2678286888	26.7762751076	12.5166212898	30.2989252057	28.9961326344	26.5002128537	26.3164787975	45.4925276043	29.731422347	25.9713317178	34.5355504554	19.0662494355	24.8447345875	17.6498614502	30.7747418829	29.1591741229	14.2333857428	35.7044039431	16.5324274483	10.2644317459	15.7627140202	24.508623367	19.7015655453	0	18.9138819004	26.1386788259	24.3484010207	11.1188817296	22.3593125682	29.2443775697	38.8946883538	13.7286471556	20.8081502387	19.9803437116	19.4760083516	9.4149113985	16.8692072823	39.1091910747	20.0426722164	37.6726281394	27.1190593363	43.0849676338	20.3295394369	17.499780661	33.921884622	24.4585827977	20.1591821914	24.1800577645	19.0361438495	17.9952038741	20.6106883101	17.9482793667	13.2603920666	15.1083662557	15.788055281	18.3219591714	29.0617544825	25.0074962166	30.4447865352	11.5941709076	39.1942965523	11.7127956265	25.175178169	40.6744039869	14.2154568139	32.5551556327	40.6694212323	13.4918599075	19.7335644258	19.4624821095	43.9660812128	32.8097286817	16.0368817763	35.064548456	31.6744417496	38.6339587527	39.0106236983	35.7333587396	20.1043339899	20.3668997353	8.7012482601	30.245318988	17.7275755217	20.5573013909	18.286227408
F4	15.3167747639	36.4049331557	30.9536017294	18.9388532399	21.0932463947	35.8263013238	33.7252734467	32.8723544644	20.1724940629	29.8312533602	29.8142802291	11.6194227993	10.9331411082	17.3826797285	37.4293527325	22.1993399375	33.2184188978	33.5160858349	19.371124953	15.6506900927	32.8297806032	29.823507463	21.9056684394	16.9518930631	27.199224414	30.0627505942	19.4965148595	14.8274331704	10.5246495157	34.8201160874	18.9138819004	0	28.8058364925	11.5284803843	20.3352753263	19.4066166824	37.0645641322	31.7279987066	27.0550764973	19.8789142667	8.5450890648	9.0809808385	17.0631619737	28.5552699481	29.9696369121	22.1632491879	39.0686962626	18.2206977861	38.2005694042	29.0368835907	27.02609324	36.3591208944	27.2660582253	12.9024025741	33.8800313664	13.8032125214	16.6381609256	18.8430043791	13.9072533431	20.1453551826	18.7951308039	28.0343933822	15.9508219991	36.3099333479	21.7135034478	27.4358243461	24.7501229972	30.6584239369	9.4950135995	29.4580682873	27.2244733066	15.603422008	17.3605732083	30.5952811935	26.686293294	20.7312627951	11.0247246184	40.2652706538	23.0521757448	15.9744458523	37.6297894644	23.1201270697	37.71080963	39.8933722398	26.6057539769	20.9041041975	15.5577916372	25.2722721627	27.9728984589	10.9908166367	31.5467680017	22.9250568105
FST	42.2966170114	21.8058422035	24.171984536	30.0972686267	23.7133961844	25.3039988407	23.9065121352	4.0665179719	17.8330019656	27.1563834424	17.1655184487	29.4205247166	37.8616586125	25.799655599	25.9433300832	23.6944714403	7.8316691534	10.7166105182	41.5205402636	42.7149252457	23.5707443639	14.5217608317	23.3283826476	36.3236987565	18.757519539	16.8354981396	33.0951283722	34.4836512234	37.2278574784	20.6956485089	26.1386788259	28.8058364925	0	27.2288237641	31.3108685142	19.8177359426	14.248964197	24.5166649223	17.6507430777	43.5056016288	35.1332563907	35.7546670677	33.7748338869	20.5146088461	26.9406469568	43.5602155152	17.8053002597	19.9994902293	24.0663265118	17.7837457764	17.3761500558	9.8295498241	48.0667924623	37.6740168027	10.5223486228	37.6463201262	37.9882095551	42.6868754006	34.6464610475	31.4685646489	35.2821319095	14.7169172758	23.196233385	8.9544896307	46.8003739744	11.4788660102	19.7228911834	25.2274674889	26.7716102989	15.3256654721	31.0339522075	16.1750281135	31.9343438382	30.3285880505	16.2924022364	29.2196008826	35.8805258248	23.5964237932	26.8854149965	29.7097856922	9.3928286212	19.8277968942	14.1533492243	16.7795765595	22.965017754	43.1198171518	39.4539024838	23.6852253962	12.8152880801	33.8633595803	13.8774664676	41.9653895555
23	21.7336533991	29.0005431435	22.283882274	23.1551212235	25.5291348568	37.694295902	32.9720734124	31.295341736	19.5561558092	33.286128315	29.0292249157	11.7049110173	14.6879758128	19.2708655154	30.4917026883	23.0802704831	32.4047114954	30.0892290587	27.9043873222	22.4523050455	33.4192615451	23.0307821356	11.6636078884	26.5413044956	23.3790097575	32.2034145647	23.2970487121	24.4730755941	14.7230459941	37.2276813931	24.3484010207	11.5284803843	27.2288237641	0	28.5771715292	11.9867115814	32.2068824823	22.4970421457	30.6130485616	27.712662197	14.2079043714	17.2012610098	24.7781876453	32.5629265253	20.8592938179	29.049742962	33.6791153915	17.9215487373	29.837554254	31.1297748201	30.4384980745	32.7273011754	33.6774683044	17.0310264807	34.4958507361	18.0938017564	26.3991189228	25.2321369045	23.7145204756	28.8876986559	28.5188165323	29.9320907369	21.2571923285	35.6397248589	29.1698142381	24.1416139595	29.1021994833	22.4926540002	18.6587033497	29.3657656099	20.3711979479	19.7829066088	10.7698983585	20.1567361787	29.1431196253	27.1517051472	19.9536082227	32.6252551106	12.0692871683	25.6859203038	35.3839157912	15.1611088043	33.1075949661	34.7510010989	24.1153474284	26.6125892558	24.7735185353	29.7498883264	25.2440654898	20.7033241012	31.4184048142	28.9552712416
Gu	27.1127164479	45.6231469983	42.871235211	16.1528305992	12.9384744535	27.9817696688	29.4580097722	35.0947191757	25.5420647342	21.5875018458	33.9755930247	29.5406451732	29.4810194797	24.4755282286	48.2762436821	26.4615547098	32.3622306269	38.6396616161	20.080938829	26.911708137	26.6210198878	36.81447978	34.7428764193	13.4192523479	36.0182568446	23.8314160815	19.0755646544	12.1929976291	27.8405692573	27.5843121966	11.1188817296	20.3352753263	31.3108685142	28.5771715292	0	29.1722433962	36.9912232662	43.4904067393	19.9805798552	23.3254040573	23.6071907531	21.26448331	13.8237025047	22.7489196454	43.1397177775	24.1964178621	44.1608873976	25.9449824175	47.9139622734	25.4099722309	22.8586283753	39.6540363303	29.3885882536	25.2133667869	31.1637307416	24.4740696111	16.5252140298	24.7978900725	15.3889003325	3.6758579835	9.8490207607	22.7717282581	13.292349136	35.1391083534	27.4673528005	33.3755556592	17.6085522493	42.4973640324	11.153272091	29.8502501363	42.540458442	15.8215315852	35.8171046208	44.9352078028	20.4349663619	10.9379775149	19.828933197	48.7949316407	37.6897026584	9.0017598947	40.517656061	35.1793909533	42.7380699135	44.9150870167	34.5973327719	25.3894735591	21.1676925667	16.6282849312	33.1156230883	16.8756456849	28.2037013895	24.962140171
MW	30.2510987939	22.2304096662	18.6748942618	22.0200552215	21.8887316147	29.9043802499	24.46619501	23.8842539145	17.878034652	27.7609634863	24.9073999821	20.6335083348	24.9186666855	22.4417326081	27.3058538051	23.5336564644	23.3971851975	22.6962120628	33.2450771152	31.0879797122	25.3095252795	13.0093585247	7.5041196279	30.4488538018	21.61563238	24.9989994819	23.6833473477	28.8818862692	24.301458113	29.7756204898	22.3593125682	19.4066166824	19.8177359426	11.9867115814	29.1722433962	0	21.8819922553	17.5921623827	24.6742322184	33.6426741725	22.4469660158	25.215370865	26.7734818905	27.8500653435	18.1361621569	33.2953659682	23.4882982991	18.8885316344	23.135668224	25.9485318075	25.3616830953	23.5038597091	37.6844222393	24.0209546166	26.6262191362	24.2558038548	31.6722170736	31.029152063	28.697084401	29.7053982887	31.8812788726	22.5158122226	21.4939582782	27.7738364471	36.2214110886	18.7985009578	24.6549003274	19.2244560919	21.9537890652	24.8070522464	22.8301129656	17.9802405083	18.0994298164	19.3388666138	22.3253190336	27.5173257758	27.0023800448	24.9909886322	11.9813753183	28.1145352379	27.6428497065	12.4452300054	26.753455829	24.9715243465	23.7789721539	31.5044495057	31.3343892443	25.2687982217	20.8452417093	26.750656371	22.2525232629	31.7270017582
TH-TF	49.698222585	24.6681584452	26.6931178637	32.3004089976	25.8758430948	19.9032488267	13.9157192101	17.7793083381	26.4551239285	24.1473385013	28.1867841375	37.2044683711	44.5554631222	34.8126929018	32.6643940944	32.3125402668	11.223655355	20.1210443341	47.9337668176	50.4479864341	16.2304817685	13.1365606324	24.8535459875	42.5596929481	27.1618179271	17.4752360097	35.3593347002	41.6345752399	44.0305436981	19.5654345111	29.2443775697	37.0645641322	14.248964197	32.2068824823	36.9912232662	21.8819922553	0	25.6127727002	20.4096457326	49.3532791381	42.10855038	43.7449794792	38.2737531108	25.211798547	28.5734145075	47.5384477295	16.1491936666	28.6216121922	26.196507372	25.1049803929	23.8198347023	13.4290646271	51.2306403868	44.074259849	17.2817786377	44.0738985898	45.4349729437	47.9708047488	42.9071733523	39.1309323153	41.671451018	15.4422265154	33.0780676184	17.7283401371	53.3879933119	20.3915118661	23.4088610041	28.5897774749	34.9735383673	24.72624474	36.0371013916	25.1318376438	36.494471161	32.1763053724	17.2099183928	38.9753934057	44.4309752726	26.7370553006	28.8641350846	38.1743361042	19.0687696857	23.8230589833	24.2194526314	16.4284436789	31.1914234506	47.0992945476	47.1594540922	24.8267923758	22.6092008168	42.2695766263	8.8908157506	44.9133770238
V6A	43.730139233	9.1329120183	5.2466071492	39.4155492019	38.0667226721	43.4169312106	38.7615181576	28.2200109908	21.4625864301	43.5033445474	28.0837949217	25.9096156518	35.446166435	28.9355390994	16.3037767841	26.0039786314	29.7818782578	20.9109469863	48.7857970122	44.4895701497	39.5609690127	12.71395414	12.0055389116	45.9497410359	17.0263376285	37.2729898893	40.6109427714	43.2301737552	35.6848127908	41.8579963495	38.8946883538	31.7279987066	24.5166649223	22.4970421457	43.4904067393	17.5921623827	25.6127727002	0	37.5548145584	49.1820272876	36.26723165	38.8223448891	43.3835674057	39.7329768123	4.2859626499	49.7707278532	24.4988268551	22.3506403729	8.3404566118	35.2202647374	36.0310470551	22.9920282478	54.2438558	38.7786785677	34.9590257183	39.539197433	46.4120959515	46.7189279088	42.928268365	43.3656304612	46.5534370587	34.6974512357	31.8811097716	33.1408039882	51.1094159243	18.5451771286	38.0911541618	7.7745201358	36.1582474481	31.0132775009	14.8273125164	29.9319756348	22.1092368967	8.1501899443	35.4749713825	37.0465177373	41.1539687429	12.5511881885	11.5592967285	40.417544314	27.1099201556	9.0601852904	22.5524360637	23.629166251	20.4089377171	47.5396794275	45.7285070749	40.6031455813	21.2650359461	40.9325522502	32.6575001041	48.6227049648
STPr	36.5455042276	37.1802372063	37.7227683222	19.4548659197	10.645733017	13.7222752788	16.2301255579	20.4281968963	26.8297912944	11.694894822	22.644002522	33.8530357344	36.6649582188	28.5773534426	41.8714413084	31.0597474658	15.8701022239	27.6780450954	31.7469096615	37.0872330698	13.2871218992	26.8939129867	31.3279561175	25.9235297142	31.8484211783	7.036382367	23.0727503361	25.4694178701	35.031772517	11.5122079954	13.7286471556	27.0550764973	17.6507430777	30.6130485616	19.9805798552	24.6742322184	20.4096457326	37.5548145584	0	34.0068867695	31.2406396529	30.577881209	22.6372049404	6.6404863571	39.012283244	33.5184739054	31.9628807648	27.7195259608	39.1655154199	11.1316548816	8.3483682905	25.341137786	38.1398407748	32.5194045132	13.9738841629	31.7251977827	29.2211173198	34.1078406903	27.8468477417	22.1220901923	24.7767528878	5.5818816794	21.9648115149	18.9137198919	38.1245781602	25.1855974825	4.4981484361	38.4403426614	20.1182553745	15.9811552723	41.8566742886	13.4496602823	37.8107450544	41.825236767	3.6399326473	25.6393648431	30.1449379302	39.2472367076	35.5483383265	23.4616189942	25.878048846	31.392315126	31.1692294701	31.4268592784	35.4893159853	33.7837759122	31.955247092	7.7162957845	24.390714957	27.4519279129	11.6378667718	31.9057454272
46d	9.5477524362	54.1738057205	48.9228908443	17.8955573981	24.3508406281	39.9925936198	39.4553494158	47.3674464895	38.1251916881	33.3170347926	45.5545349174	30.0524982465	19.0470022371	35.4282262605	56.0619265966	39.8858752569	45.4519023251	50.1448837883	4.2682342479	9.6086362552	37.768905743	45.4875612925	37.8610654971	10.2371037493	46.1538924648	37.253640759	16.1820780618	18.0426102575	17.4008533072	40.4914874624	20.8081502387	19.8789142667	43.5056016288	27.712662197	23.3254040573	33.6426741725	49.3532791381	49.1820272876	34.0068867695	0	13.8340708366	11.9100260028	11.7694759097	36.7752265597	47.8221164322	5.5248687061	54.1858190431	36.6775328035	55.6897669937	39.1376441596	36.6377064663	51.580443121	9.5101062498	12.0330924703	44.6701264657	11.1686402696	11.0814665889	4.8174413701	17.7143994624	23.831748707	16.7874075127	36.2781239822	29.3632277507	48.3312837632	4.3699042892	44.6401998457	31.6348591636	48.90284648	17.9118883392	42.8803366263	45.8754499986	28.6616060069	33.4525291075	47.4804946095	34.0723364794	31.2121295887	12.0016434861	57.5682903943	39.4002467569	24.9022642798	52.7123891756	41.3172830476	54.3396075834	55.5117732784	45.3936788372	6.8986330933	8.3997013854	29.2340223633	44.6945649809	14.3537464096	40.8390372047	9.7143515784
24d	7.9862320127	42.1248822095	36.0071088269	17.3629055264	22.8479996674	37.8860076404	35.4486405086	39.1997743627	28.0018008579	31.6977609147	36.4247390136	17.6216014752	7.3809681963	25.4074849252	43.5187362103	30.2241451342	38.8319698292	40.1314322734	14.729788868	8.7724336951	34.5609314525	34.6565084174	25.1413131257	15.5624122516	34.540569417	33.9134783358	16.2761048645	16.6262866839	5.4074662837	38.210257657	19.9803437116	8.5450890648	35.1332563907	14.2079043714	23.6071907531	22.4469660158	42.10855038	36.26723165	31.2406396529	13.8340708366	0	4.7153468479	15.167357819	33.4475533751	34.6267802872	16.1431585204	44.2719435078	26.1488984102	43.3392828611	34.7023383326	32.4638351201	42.5010431336	20.861708206	4.7283280358	39.2225797685	6.0467513456	15.7053609271	11.709194703	14.6404207111	23.9827736896	19.77501126	32.2924824969	22.9808035194	42.0510183285	14.9882603685	34.2998307465	28.8849102665	36.1718383976	13.3895256233	35.9754653856	32.3427642093	22.0151529166	19.8507989861	34.1322465048	30.5953931011	27.2222477507	8.1566929733	45.7664057898	26.034619537	22.1311337575	44.1976702656	28.5862749652	44.3261560685	45.4848029716	34.2864267055	13.9360167769	12.1299054291	27.672361961	34.8274038476	10.8707798141	35.6186222483	17.5011120944
8B	7.6342658528	44.1192587161	38.3313194136	17.9290569918	22.5528812089	38.0661805386	36.6892923639	39.8211850396	28.6198278355	31.4925436775	37.0126859623	18.1424722437	9.3665805663	25.973669106	45.2950004514	30.7226352985	39.3312755138	41.1859808607	12.4839115894	7.2691021596	35.3452580844	36.7495752088	28.1992813089	12.4322930742	35.4619319968	33.80999344	17.3352231069	13.0036886642	8.1051556992	37.9855225615	19.4760083516	9.0809808385	35.7546670677	17.2012610098	21.26448331	25.215370865	43.7449794792	38.8223448891	30.577881209	11.9100260028	4.7153468479	0	13.8174251053	32.8046754778	37.034171308	15.3584996996	45.9668984073	26.8116871636	45.649129736	34.3081736915	31.9075727549	43.6017763341	20.3284524601	8.0156427868	39.426617761	8.7020952333	12.2718483535	11.5442081563	10.8153216531	21.4359208572	16.1378803949	32.1909909547	22.3221633653	42.3995825089	13.0897596276	35.3258462047	28.2113610647	38.2212206346	11.3726043505	36.0558162919	34.3577039317	21.572439842	22.5064630584	37.1815418755	30.4135437204	25.6572885106	3.9403774999	47.8422613717	29.1624569963	20.004623634	44.9295703673	30.6356572022	45.3807046558	47.0678171062	35.0799210124	14.2735176176	8.1721306434	27.202119801	35.6924110526	6.9033261314	36.1819999547	17.3622476538
